item_name,item_price,item_year,item_miles,item_make,item_location
1974 Suzuki RV90,"$2,100.00 ",Year: 1974,"Miles: 2,750",Make: Suzuki,
1983 Harley-Davidson Touring,"$3,500.00 ",Year: 1983,"Miles: 39,181",Make: Harley-Davidson,
2020 Can-Am Ryker,"$13,900.00 ",Year: 2020,Miles: 433,Make: Can-Am,
2020 Can-Am Ryker,"$13,900.00 ",Year: 2020,Miles: 433,Make: Can-Am,
1983 Yamaha Other,"$3,600.00 ",Year: 1983,"Miles: 23,256",Make: Yamaha,
2003 Honda VT750 SHADOW ACE DELUXE 750,"$3,699.00 ",Year: 2003,"Miles: 20,948",Make: Honda,
1999 Indian Chief,"$8,100.00 ",Year: 1999,"Miles: 11,440",Make: Indian,
Bultaco: Metralla,$35.05 ,Year: 1978,Miles: 0,Make: Bultaco,from Canada
2018 Triumph Street Triple,"$6,999.00 ",Year: 2018,"Miles: 15,699",Make: Triumph,
1975 Harley-Davidson SHOVELHEAD,"$5,000.00 ",Year: 1975,"Miles: 9,999",Make: Harley-Davidson,
1982 Yamaha YZ,$570.00 ,Year: 1982,,Make: Yamaha,
1970 Triumph Tiger,"$4,300.00 ",Year: 1970,"Miles: 5,079",Make: Triumph,
1995 Harley-Davidson Touring,"$4,150.00 ",Year: 1995,"Miles: 16,496",Make: Harley-Davidson,
1994 Yamaha,"$2,500.00 ",Year: 1994,"Miles: 10,000",Make: Yamaha,
1974 Honda CB,"$15,966.55 ",Year: 1974,Miles: 4,Make: Honda,
2001 Harley-Davidson Touring,"$5,100.00 ",Year: 2001,"Miles: 44,682",Make: Harley-Davidson,
1982 Honda Silverwing GL500 Interstate,"$2,600.00 ",Year: 1982,"Miles: 13,498",Make: Honda,
2001 KTM 380 MXC,"$4,150.00 ",Year: 2001,"Miles: 999,999",Make: KTM,
1991 Harley-Davidson Sportster,"$1,995.00 ",Year: 1991,"Miles: 15,011",Make: Harley-Davidson,
2014 Can-Am Spyder RT SE6,"$14,900.00 ",Year: 2014,"Miles: 18,600",Make: Can-Am,
1994 BMW R100GS PD,"$6,200.00 ",Year: 1994,"Miles: 53,462",Make: BMW,
2012 Ducati Superbike,"$12,300.00 ",Year: 2012,"Miles: 4,250",Make: Ducati,
